scenario,strategy,seed,profile,accident_time,blockage_time,initial_route,final_route,initial_eta,replanned_eta,blockage_detection_time,replanning_trigger_time,replanning_completion_time,ambulance_dispatch_time,ambulance_arrival_time,actual_travel_time,response_time,eta_error,number_of_replans,successful_route_changes,route_changed,replanning_latency,planner_computation_ms,completion_status,teleported,completed,normal_traffic_waiting_time,normal_traffic_time_loss,normal_traffic_arrivals,network_throughput_vehicles_per_hour,average_vehicle_speed
S05,static,1,heavy,300,307,E13 -> E5 -> E7 -> E23,E13 -> E5 -> E7 -> E23,25.683230088680006,,314.0,,,301.0,,,,,0,0,False,,0.07383299998764414,TELEPORTED,True,False,8.330798479087452,13.251311787072243,502,2008.0,7.230403743570012
S05,dynamic,1,heavy,300,307,E13 -> E5 -> E7 -> E23,E5 -> E19 -> E11,25.683230088680006,22.715713332335078,314.0,,,301.0,335.0,34.0,35.0,8.316769911319994,1,1,True,,0.9977909976441879,SUCCESS,False,True,8.399239543726235,13.400342205323193,502,2008.0,7.192461060915232
S05,static,1,peak,300,307,E13 -> E5 -> E19 -> E11,E13 -> E5 -> E19 -> E11,25.99114842985948,,314.0,,,301.0,335.0,34.0,35.0,8.008851570140521,0,0,False,,0.05400000009103678,SUCCESS,False,True,10.510233918128655,15.66190058479532,656,2624.0,6.589896600822894
S05,dynamic,1,peak,300,307,E13 -> E5 -> E19 -> E11,E13 -> E5 -> E19 -> E11,25.99114842985948,,314.0,,,301.0,335.0,34.0,35.0,8.008851570140521,0,0,False,,1.0516220008867094,SUCCESS,False,True,10.510233918128655,15.66190058479532,656,2624.0,6.589896600822894
S05,static,1,congested,300,307,E13 -> E5 -> E19 -> E11,E13 -> E5 -> E19 -> E11,25.408586321927483,,314.0,,,301.0,335.0,34.0,35.0,8.591413678072517,0,0,False,,0.06683299943688326,SUCCESS,False,True,10.468609865470851,18.836378923766816,850,3400.0,5.744756098001379
S05,dynamic,1,congested,300,307,E13 -> E5 -> E19 -> E11,E13 -> E5 -> E19 -> E11,25.408586321927483,,314.0,,,301.0,335.0,34.0,35.0,8.591413678072517,0,0,False,,1.2155839958722936,SUCCESS,False,True,10.468609865470851,18.836378923766816,850,3400.0,5.744756098001379
